time magnitude band
57045.14  99.0  r
57047.13  19.71 r
57049.12  18.55 r
57051.11  17.73 r
57053.11  17.33 r
57055.10  17.08 r
57057.10  17.02 r
57059.09  16.81 r
57065.08  16.85 r
57065.13  99.0  r
57067.93  16.99 r
57068.24  99.00 r
57069.81  17.05 r
57070.07  17.04 r
57072.15  17.17 r
57072.24  99.00 r
57072.59  17.18 r
57075.32  17.42 r
57076.06  17.37 r
57078.12  99.00 r
57078.30  17.59 r
57079.10  99.00 r
57079.80  17.55 r
57082.05  17.81 r
57082.81  17.95 r
57084.07  17.87 r
57085.51  18.00 r
57086.05  17.97 r
57088.05  17.99 r
57088.22  18.10 r
57089.92  18.04 r
57090.08  18.13 r
57091.63  18.15 r
57092.07  18.23 r
57093.05  99.00 r
57094.04  18.22 r
57095.05  18.27 r
57097.05  18.32 r
57097.47  18.28 r
57100.20  18.42 r
57101.05  18.39 r
57102.90  18.37 r
57103.04  18.47 r
57105.73  18.40 r
57108.45  18.46 r
57109.15  99.00 r
57111.16  18.70 r
57120.72  99.00 r
57123.43  18.59 r
57126.14  18.96 r
57128.89  18.97 r
57131.71  19.05 r
57134.71  19.02 r
57137.97  19.17 r
57142.76  18.95 r
57147.40  18.98 r
57152.71  19.25 r
57155.44  19.20 r
57160.43  19.19 r
57165.99  19.58 r
57170.78  19.39 r
57175.99  19.40 r
57176.40  19.50 r
57182.39  19.56 r
57187.37  19.80 r
57192.73  19.84 r
57201.69  19.70 r
57207.72  19.80 r












































































