#time_days luminosity_erg/s luminosity_errminus_erg/s luminosity_errplus_erg/s log_lbol log_lbol_err
0.638 1.1246049739669314e+42 2.7737755982632654e41 3.681894356120629e41 42.051 0.123
0.696 9.120108393559116e+41 2.1216884335363994e41 2.7649138808111465e41 41.96 0.115
1.033 7.961593504173249e+41 1.9498561293404204e41 2.5822754597394177e41 41.901 0.122
1.427 4.931738039549334e+41 8.673047478972562e40 1.0523779110538764e41 41.693 0.084
2.417 2.2284351492702983e+41 4.295642341415293e40 5.321427069500635e40 41.348 0.093
3.413 1.6255487557504783e+41 2.7658587315883893e40 3.3329591775551864e40 41.211 0.081
4.403 1.2793813041575227e+41 2.654699184208428e40 3.3497725266895766e40 41.107 0.101
7.383 6.426877173170194e+40 2.4458054676352084e40 3.9484069850098905e40 40.808 0.208
8.358 4.456562483975042e+40 1.7401232151359748e40 2.854828350859205e40 40.649 0.215
9.350 1.5031419660900208e+40 5.459478947951727e39 8.573362670905429e39 40.177 0.196
10.386 8.689604292863019e+39 4.492014452952967e39 9.299104858424966e39 39.939 0.316
11.335 8.336811846196331e+39 4.7886779538606e39 1.1251634888863636e40 39.921 0.371
12.307 7.585775750291882e+39 3.464800559318561e39 6.377907860267593e39 39.88 0.265
13.303 5.834451042737423e+39 3.548852239361984e39 9.059159734371549e39 39.766 0.407
