time magnitude band
6.160000000000000142e+00 -1.783384831917114255e+01 B
6.389999999999999680e+00 -1.787597200642728623e+01 B
6.629999999999999893e+00 -1.792624201619051405e+01 B
6.879999999999999893e+00 -1.796534266121695111e+01 B
7.139999999999999680e+00 -1.801583560250789162e+01 B
7.410000000000000142e+00 -1.805367504270192569e+01 B
7.690000000000000391e+00 -1.809708817672692405e+01 B
7.980000000000000426e+00 -1.813155736931135209e+01 B
8.279999999999999361e+00 -1.816930202206868472e+01 B
8.589999999999999858e+00 -1.820218576549097378e+01 B
8.910000000000000142e+00 -1.823302305061364947e+01 B
9.250000000000000000e+00 -1.825741293012212907e+01 B
9.589999999999999858e+00 -1.827743167080906517e+01 B
9.949999999999999289e+00 -1.829715085143242348e+01 B
1.033000000000000007e+01 -1.830799113635776720e+01 B
1.071000000000000085e+01 -1.832234246047972093e+01 B
1.111999999999999922e+01 -1.832768638380342097e+01 B
1.153999999999999915e+01 -1.833233554639860330e+01 B
1.197000000000000064e+01 -1.832570719028048956e+01 B
1.241999999999999993e+01 -1.831324861150325134e+01 B
1.288000000000000078e+01 -1.829718077149679445e+01 B
1.336999999999999922e+01 -1.827543545914152645e+01 B
1.386999999999999922e+01 -1.824899267512600431e+01 B
1.439000000000000057e+01 -1.821160601089649234e+01 B
1.492999999999999972e+01 -1.817100221599450549e+01 B
1.549000000000000021e+01 -1.812604847964746213e+01 B
1.607999999999999829e+01 -1.807036936500913527e+01 B
1.667999999999999972e+01 -1.801353334593164135e+01 B
1.730999999999999872e+01 -1.794452377272926213e+01 B
1.796000000000000085e+01 -1.787714035563883286e+01 B
1.862999999999999901e+01 -1.779967450205292323e+01 B
1.932999999999999829e+01 -1.771341880946107139e+01 B
2.005999999999999872e+01 -1.762766135586913308e+01 B
2.080999999999999872e+01 -1.753307077155555049e+01 B
2.158999999999999986e+01 -1.743755356211472574e+01 B
2.241000000000000014e+01 -1.733354874541927870e+01 B
2.325000000000000000e+01 -1.723215671531811921e+01 B
2.412000000000000099e+01 -1.711794931440176981e+01 B
2.503000000000000114e+01 -1.700952827078131691e+01 B
2.596999999999999886e+01 -1.690676081380632212e+01 B
2.694000000000000128e+01 -1.679963319514745734e+01 B
2.796000000000000085e+01 -1.670195938119568169e+01 B
2.901000000000000156e+01 -1.659950714976201880e+01 B
3.010000000000000142e+01 -1.651912529840607746e+01 B
3.123000000000000043e+01 -1.642703533024548435e+01 B
3.239999999999999858e+01 -1.633916201758864162e+01 B
3.361999999999999744e+01 -1.626195571584043265e+01 B
3.488000000000000256e+01 -1.618076376955443862e+01 B
3.618999999999999773e+01 -1.611497619470771880e+01 B
3.754999999999999716e+01 -1.606295142462388981e+01 B
3.896000000000000085e+01 -1.600924437031452641e+01 B
4.042999999999999972e+01 -1.596331233411720518e+01 B
