time magnitude band
6.160000000000000142e+00 -1.779657964786508373e+01 I
6.389999999999999680e+00 -1.785760639413113182e+01 I
6.629999999999999893e+00 -1.789570524279708508e+01 I
6.879999999999999893e+00 -1.795227989609603014e+01 I
7.139999999999999680e+00 -1.800562062082697068e+01 I
7.410000000000000142e+00 -1.805281528162203486e+01 I
7.690000000000000391e+00 -1.810838114088197770e+01 I
7.980000000000000426e+00 -1.815464430461717527e+01 I
8.279999999999999361e+00 -1.819272926788784517e+01 I
8.589999999999999858e+00 -1.824511814277701660e+01 I
8.910000000000000142e+00 -1.829598368560561283e+01 I
9.250000000000000000e+00 -1.833831632067310835e+01 I
9.589999999999999858e+00 -1.837731329551427351e+01 I
9.949999999999999289e+00 -1.842418690779089019e+01 I
1.033000000000000007e+01 -1.846248100602123898e+01 I
1.071000000000000085e+01 -1.849844793617590710e+01 I
1.111999999999999922e+01 -1.853684769478309846e+01 I
1.153999999999999915e+01 -1.858105412188870886e+01 I
1.197000000000000064e+01 -1.862268185144464994e+01 I
1.241999999999999993e+01 -1.866075655267768951e+01 I
1.288000000000000078e+01 -1.869488638180659734e+01 I
1.336999999999999922e+01 -1.873888835299702293e+01 I
1.386999999999999922e+01 -1.878105878468259959e+01 I
1.439000000000000057e+01 -1.881930546630483292e+01 I
1.492999999999999972e+01 -1.885272075101665123e+01 I
1.549000000000000021e+01 -1.889096037842580245e+01 I
1.607999999999999829e+01 -1.893312299185650005e+01 I
1.667999999999999972e+01 -1.897348490854707137e+01 I
1.730999999999999872e+01 -1.900187891634431026e+01 I
1.796000000000000085e+01 -1.903393848853702863e+01 I
1.862999999999999901e+01 -1.905958154804095273e+01 I
1.932999999999999829e+01 -1.908242608327204692e+01 I
2.005999999999999872e+01 -1.909803815920592029e+01 I
2.080999999999999872e+01 -1.910823907148442657e+01 I
2.158999999999999986e+01 -1.911022791225619955e+01 I
2.241000000000000014e+01 -1.910729441008139773e+01 I
2.325000000000000000e+01 -1.909346100267341839e+01 I
2.412000000000000099e+01 -1.907363885205637644e+01 I
2.503000000000000114e+01 -1.905109342956226115e+01 I
2.596999999999999886e+01 -1.901572716635057247e+01 I
2.694000000000000128e+01 -1.897831882638577738e+01 I
2.796000000000000085e+01 -1.892381767041716856e+01 I
2.901000000000000156e+01 -1.886266436426386406e+01 I
3.010000000000000142e+01 -1.878238222836041871e+01 I
3.123000000000000043e+01 -1.869721481044081557e+01 I
3.239999999999999858e+01 -1.859662734949388252e+01 I
3.361999999999999744e+01 -1.849009548959246629e+01 I
3.488000000000000256e+01 -1.837099701499969839e+01 I
3.618999999999999773e+01 -1.825422203929436904e+01 I
3.754999999999999716e+01 -1.815090235478427871e+01 I
3.896000000000000085e+01 -1.803781653401395602e+01 I
4.042999999999999972e+01 -1.793599833139518296e+01 I
