time magnitude band
6.160000000000000142e+00 -1.794742105422385592e+01 R
6.389999999999999680e+00 -1.800524975650408166e+01 R
6.629999999999999893e+00 -1.806241186205615179e+01 R
6.879999999999999893e+00 -1.811677489474926261e+01 R
7.139999999999999680e+00 -1.817072131266312240e+01 R
7.410000000000000142e+00 -1.821636176362271797e+01 R
7.690000000000000391e+00 -1.826565443025386060e+01 R
7.980000000000000426e+00 -1.831098100384690142e+01 R
8.279999999999999361e+00 -1.836362943411317517e+01 R
8.589999999999999858e+00 -1.840879044455160241e+01 R
8.910000000000000142e+00 -1.845026068100996142e+01 R
9.250000000000000000e+00 -1.849079234440349850e+01 R
9.589999999999999858e+00 -1.853291205139639430e+01 R
9.949999999999999289e+00 -1.857515547076213380e+01 R
1.033000000000000007e+01 -1.861133988165210340e+01 R
1.071000000000000085e+01 -1.865138725419748411e+01 R
1.111999999999999922e+01 -1.868803404707389504e+01 R
1.153999999999999915e+01 -1.872252915865674439e+01 R
1.197000000000000064e+01 -1.875828401261072642e+01 R
1.241999999999999993e+01 -1.879136991722341321e+01 R
1.288000000000000078e+01 -1.882320066246994372e+01 R
1.336999999999999922e+01 -1.884850336980883867e+01 R
1.386999999999999922e+01 -1.887318377957499038e+01 R
1.439000000000000057e+01 -1.889778945469729976e+01 R
1.492999999999999972e+01 -1.892547356874648301e+01 R
1.549000000000000021e+01 -1.894238480976557071e+01 R
1.607999999999999829e+01 -1.896129386055194743e+01 R
1.667999999999999972e+01 -1.897723985327470686e+01 R
1.730999999999999872e+01 -1.898659039450796371e+01 R
1.796000000000000085e+01 -1.899602718767644660e+01 R
1.862999999999999901e+01 -1.899701076915146558e+01 R
1.932999999999999829e+01 -1.899078098515365554e+01 R
2.005999999999999872e+01 -1.898765178940224985e+01 R
2.080999999999999872e+01 -1.897233135131400417e+01 R
2.158999999999999986e+01 -1.895282095753454144e+01 R
2.241000000000000014e+01 -1.892548038999383664e+01 R
2.325000000000000000e+01 -1.888773977430366813e+01 R
2.412000000000000099e+01 -1.884691741737937321e+01 R
2.503000000000000114e+01 -1.879899358265531362e+01 R
2.596999999999999886e+01 -1.874702959763529364e+01 R
2.694000000000000128e+01 -1.868017011618013967e+01 R
2.796000000000000085e+01 -1.860974317146714441e+01 R
2.901000000000000156e+01 -1.853110478029825714e+01 R
3.010000000000000142e+01 -1.844751183788003246e+01 R
3.123000000000000043e+01 -1.834637622752335062e+01 R
3.239999999999999858e+01 -1.824748371285766524e+01 R
3.361999999999999744e+01 -1.814084282226221134e+01 R
3.488000000000000256e+01 -1.803088398561863315e+01 R
3.618999999999999773e+01 -1.791989713950716379e+01 R
3.754999999999999716e+01 -1.780887717288600314e+01 R
3.896000000000000085e+01 -1.770139054452255678e+01 R
4.042999999999999972e+01 -1.759381692106071782e+01 R
