time magnitude band
6.160000000000000142e+00 -1.794264903295469438e+01 V
6.389999999999999680e+00 -1.800479221278462205e+01 V
6.629999999999999893e+00 -1.805895532837254436e+01 V
6.879999999999999893e+00 -1.810947476817318957e+01 V
7.139999999999999680e+00 -1.816266412593427759e+01 V
7.410000000000000142e+00 -1.821403938972631664e+01 V
7.690000000000000391e+00 -1.826954118173047092e+01 V
7.980000000000000426e+00 -1.831075018573953628e+01 V
8.279999999999999361e+00 -1.836321292856821685e+01 V
8.589999999999999858e+00 -1.841343976085750000e+01 V
8.910000000000000142e+00 -1.845552482895008950e+01 V
9.250000000000000000e+00 -1.849669723684897704e+01 V
9.589999999999999858e+00 -1.854432398020670192e+01 V
9.949999999999999289e+00 -1.858034091195496984e+01 V
1.033000000000000007e+01 -1.862162646924796050e+01 V
1.071000000000000085e+01 -1.866051538867672477e+01 V
1.111999999999999922e+01 -1.869603647791855039e+01 V
1.153999999999999915e+01 -1.872844850026783448e+01 V
1.197000000000000064e+01 -1.876289767605281966e+01 V
1.241999999999999993e+01 -1.878521331025380903e+01 V
1.288000000000000078e+01 -1.881176337019162048e+01 V
1.336999999999999922e+01 -1.883262161489234998e+01 V
1.386999999999999922e+01 -1.884739491945953915e+01 V
1.439000000000000057e+01 -1.886089533154078524e+01 V
1.492999999999999972e+01 -1.887181472234940571e+01 V
1.549000000000000021e+01 -1.887746413251576527e+01 V
1.607999999999999829e+01 -1.887497882610669819e+01 V
1.667999999999999972e+01 -1.887516035375660550e+01 V
1.730999999999999872e+01 -1.886345719052124181e+01 V
1.796000000000000085e+01 -1.885401434057592951e+01 V
1.862999999999999901e+01 -1.883168106205554082e+01 V
1.932999999999999829e+01 -1.880350193084926147e+01 V
2.005999999999999872e+01 -1.877041524069508327e+01 V
2.080999999999999872e+01 -1.872671220561891658e+01 V
2.158999999999999986e+01 -1.868156966090055349e+01 V
2.241000000000000014e+01 -1.862173224846235797e+01 V
2.325000000000000000e+01 -1.856124910222247593e+01 V
2.412000000000000099e+01 -1.848528282581445126e+01 V
2.503000000000000114e+01 -1.840831310319979508e+01 V
2.596999999999999886e+01 -1.832946537360376027e+01 V
2.694000000000000128e+01 -1.824004059281981682e+01 V
2.796000000000000085e+01 -1.815073057089784925e+01 V
2.901000000000000156e+01 -1.805993922040370236e+01 V
3.010000000000000142e+01 -1.797148208803693237e+01 V
3.123000000000000043e+01 -1.787994928867071209e+01 V
3.239999999999999858e+01 -1.778413900858751973e+01 V
3.361999999999999744e+01 -1.769885826910816462e+01 V
3.488000000000000256e+01 -1.760910251887379729e+01 V
3.618999999999999773e+01 -1.751868811367558365e+01 V
3.754999999999999716e+01 -1.743953367393515208e+01 V
3.896000000000000085e+01 -1.736501074562052338e+01 V
4.042999999999999972e+01 -1.729581150694902192e+01 V
