time magnitude band
6.160000000000000142e+00 -1.764412688045831601e+01 B
6.389999999999999680e+00 -1.769806341288385454e+01 B
6.629999999999999893e+00 -1.773965745779266001e+01 B
6.879999999999999893e+00 -1.779380442695070030e+01 B
7.139999999999999680e+00 -1.784443217758998301e+01 B
7.410000000000000142e+00 -1.789442629310257615e+01 B
7.690000000000000391e+00 -1.793375395489293567e+01 B
7.980000000000000426e+00 -1.797861240282751183e+01 B
8.279999999999999361e+00 -1.801905448039839897e+01 B
8.589999999999999858e+00 -1.807194026068606973e+01 B
8.910000000000000142e+00 -1.810162109550451959e+01 B
9.250000000000000000e+00 -1.814098404720025570e+01 B
9.589999999999999858e+00 -1.818305669047991557e+01 B
9.949999999999999289e+00 -1.821297444190269488e+01 B
1.033000000000000007e+01 -1.824090693639483263e+01 B
1.071000000000000085e+01 -1.827555072015412918e+01 B
1.111999999999999922e+01 -1.830100301744585778e+01 B
1.153999999999999915e+01 -1.832057303160098272e+01 B
1.197000000000000064e+01 -1.833941149828027406e+01 B
1.241999999999999993e+01 -1.836046357155402475e+01 B
1.288000000000000078e+01 -1.837168657337780431e+01 B
1.336999999999999922e+01 -1.837726055263181024e+01 B
1.386999999999999922e+01 -1.837234701617597565e+01 B
1.439000000000000057e+01 -1.837543846338876818e+01 B
1.492999999999999972e+01 -1.836450896055666959e+01 B
1.549000000000000021e+01 -1.834850456953395081e+01 B
1.607999999999999829e+01 -1.832731887599945964e+01 B
1.667999999999999972e+01 -1.829819358790116013e+01 B
1.730999999999999872e+01 -1.825969165007581907e+01 B
1.796000000000000085e+01 -1.822177680880650286e+01 B
1.862999999999999901e+01 -1.816660063024490412e+01 B
1.932999999999999829e+01 -1.811056429548491664e+01 B
2.005999999999999872e+01 -1.804454203691274827e+01 B
2.080999999999999872e+01 -1.797362455368333656e+01 B
2.158999999999999986e+01 -1.789922538201419044e+01 B
2.241000000000000014e+01 -1.781288440460350131e+01 B
2.325000000000000000e+01 -1.772463571974287788e+01 B
2.412000000000000099e+01 -1.762953395209821394e+01 B
2.503000000000000114e+01 -1.752669576553813258e+01 B
2.596999999999999886e+01 -1.742741150011855567e+01 B
2.694000000000000128e+01 -1.732420276815768290e+01 B
2.796000000000000085e+01 -1.721274833091485945e+01 B
2.901000000000000156e+01 -1.710960170686477255e+01 B
3.010000000000000142e+01 -1.699993236555852150e+01 B
3.123000000000000043e+01 -1.689381548057579607e+01 B
3.239999999999999858e+01 -1.679913214477593186e+01 B
3.361999999999999744e+01 -1.669624839228698221e+01 B
3.488000000000000256e+01 -1.661025621521208251e+01 B
3.618999999999999773e+01 -1.652159013704792301e+01 B
3.754999999999999716e+01 -1.644256221184694411e+01 B
3.896000000000000085e+01 -1.637069497391190254e+01 B
4.042999999999999972e+01 -1.630402628324252134e+01 B
