time magnitude band
6.160000000000000142e+00 -1.739702346343018746e+01 I
6.389999999999999680e+00 -1.746843814169532294e+01 I
6.629999999999999893e+00 -1.754333004026380394e+01 I
6.879999999999999893e+00 -1.758459853884539115e+01 I
7.139999999999999680e+00 -1.763099757888966934e+01 I
7.410000000000000142e+00 -1.768360557379998355e+01 I
7.690000000000000391e+00 -1.773028833248829272e+01 I
7.980000000000000426e+00 -1.779742513972223961e+01 I
8.279999999999999361e+00 -1.783688730874008854e+01 I
8.589999999999999858e+00 -1.789166729414479562e+01 I
8.910000000000000142e+00 -1.793998016536472306e+01 I
9.250000000000000000e+00 -1.798144307647668683e+01 I
9.589999999999999858e+00 -1.803385693727645389e+01 I
9.949999999999999289e+00 -1.807647686174968271e+01 I
1.033000000000000007e+01 -1.810974027303430489e+01 I
1.071000000000000085e+01 -1.815669202551748995e+01 I
1.111999999999999922e+01 -1.819000903331221863e+01 I
1.153999999999999915e+01 -1.824120293106627955e+01 I
1.197000000000000064e+01 -1.828036887719028769e+01 I
1.241999999999999993e+01 -1.832142407863658562e+01 I
1.288000000000000078e+01 -1.835235152360409572e+01 I
1.336999999999999922e+01 -1.839291838147839542e+01 I
1.386999999999999922e+01 -1.843302905129070268e+01 I
1.439000000000000057e+01 -1.847465397742109872e+01 I
1.492999999999999972e+01 -1.850885013890870923e+01 I
1.549000000000000021e+01 -1.854686611478515346e+01 I
1.607999999999999829e+01 -1.858154030248309141e+01 I
1.667999999999999972e+01 -1.861781815741708357e+01 I
1.730999999999999872e+01 -1.866045297611272602e+01 I
1.796000000000000085e+01 -1.869105049073891323e+01 I
1.862999999999999901e+01 -1.872700794347347397e+01 I
1.932999999999999829e+01 -1.875758535518877679e+01 I
2.005999999999999872e+01 -1.878940216308731337e+01 I
2.080999999999999872e+01 -1.881700856643665176e+01 I
2.158999999999999986e+01 -1.884723687536485670e+01 I
2.241000000000000014e+01 -1.887022686778635361e+01 I
2.325000000000000000e+01 -1.889032725324805639e+01 I
2.412000000000000099e+01 -1.889994055041247734e+01 I
2.503000000000000114e+01 -1.890916249058386711e+01 I
2.596999999999999886e+01 -1.890772157158959033e+01 I
2.694000000000000128e+01 -1.889558236326579532e+01 I
2.796000000000000085e+01 -1.887614408703064584e+01 I
2.901000000000000156e+01 -1.885398196465750686e+01 I
3.010000000000000142e+01 -1.882130725390402404e+01 I
3.123000000000000043e+01 -1.878134440173686670e+01 I
3.239999999999999858e+01 -1.872849930920714456e+01 I
3.361999999999999744e+01 -1.866843343863545002e+01 I
3.488000000000000256e+01 -1.859352148954372197e+01 I
3.618999999999999773e+01 -1.851560365253176244e+01 I
3.754999999999999716e+01 -1.841871620471271243e+01 I
3.896000000000000085e+01 -1.831570486465347258e+01 I
4.042999999999999972e+01 -1.821362595841830512e+01 I
