time magnitude band
6.160000000000000142e+00 -1.759511539180147466e+01 R
6.389999999999999680e+00 -1.764906039488282730e+01 R
6.629999999999999893e+00 -1.771189014950339669e+01 R
6.879999999999999893e+00 -1.777007191564535660e+01 R
7.139999999999999680e+00 -1.780961030972301629e+01 R
7.410000000000000142e+00 -1.787006906757259728e+01 R
7.690000000000000391e+00 -1.792092959772068639e+01 R
7.980000000000000426e+00 -1.797528071965463781e+01 R
8.279999999999999361e+00 -1.801571830987540324e+01 R
8.589999999999999858e+00 -1.807840838606671241e+01 R
8.910000000000000142e+00 -1.811286078811715683e+01 R
9.250000000000000000e+00 -1.816656857458400864e+01 R
9.589999999999999858e+00 -1.821062224573360311e+01 R
9.949999999999999289e+00 -1.825084825877623729e+01 R
1.033000000000000007e+01 -1.829320690687756468e+01 R
1.071000000000000085e+01 -1.833559207227146359e+01 R
1.111999999999999922e+01 -1.837615918634287482e+01 R
1.153999999999999915e+01 -1.841805643203658249e+01 R
1.197000000000000064e+01 -1.844876394170768563e+01 R
1.241999999999999993e+01 -1.848313590781486226e+01 R
1.288000000000000078e+01 -1.851786720165364031e+01 R
1.336999999999999922e+01 -1.855242022717039774e+01 R
1.386999999999999922e+01 -1.858204636784183705e+01 R
1.439000000000000057e+01 -1.862304557761128265e+01 R
1.492999999999999972e+01 -1.864669995907353695e+01 R
1.549000000000000021e+01 -1.867092325886180149e+01 R
1.607999999999999829e+01 -1.869714093241210406e+01 R
1.667999999999999972e+01 -1.871805627190313714e+01 R
1.730999999999999872e+01 -1.874006356895615610e+01 R
1.796000000000000085e+01 -1.876008135158961565e+01 R
1.862999999999999901e+01 -1.877054028092108240e+01 R
1.932999999999999829e+01 -1.878572427645212173e+01 R
2.005999999999999872e+01 -1.879130123659887275e+01 R
2.080999999999999872e+01 -1.879730119673333988e+01 R
2.158999999999999986e+01 -1.879565126002358610e+01 R
2.241000000000000014e+01 -1.879774944664612946e+01 R
2.325000000000000000e+01 -1.878959715638516670e+01 R
2.412000000000000099e+01 -1.878040497405872600e+01 R
2.503000000000000114e+01 -1.875699173738981074e+01 R
2.596999999999999886e+01 -1.873277021054687097e+01 R
2.694000000000000128e+01 -1.870086319686588183e+01 R
2.796000000000000085e+01 -1.866197857142130800e+01 R
2.901000000000000156e+01 -1.861133240496355512e+01 R
3.010000000000000142e+01 -1.856056979671961216e+01 R
3.123000000000000043e+01 -1.849985128967487569e+01 R
3.239999999999999858e+01 -1.843022213984560764e+01 R
3.361999999999999744e+01 -1.835446828165654765e+01 R
3.488000000000000256e+01 -1.826397116575183688e+01 R
3.618999999999999773e+01 -1.816720806663015964e+01 R
3.754999999999999716e+01 -1.806855311323764113e+01 R
3.896000000000000085e+01 -1.795521146339774887e+01 R
4.042999999999999972e+01 -1.784787029712840223e+01 R
