time magnitude band
6.160000000000000142e+00 -1.767380589259735757e+01 V
6.389999999999999680e+00 -1.772661397950359685e+01 V
6.629999999999999893e+00 -1.778284405380379241e+01 V
6.879999999999999893e+00 -1.784154652461479884e+01 V
7.139999999999999680e+00 -1.789511403895452446e+01 V
7.410000000000000142e+00 -1.794856046664718008e+01 V
7.690000000000000391e+00 -1.799894983673847548e+01 V
7.980000000000000426e+00 -1.804409469339586991e+01 V
8.279999999999999361e+00 -1.809798852018767334e+01 V
8.589999999999999858e+00 -1.814667469800453148e+01 V
8.910000000000000142e+00 -1.819171451993632971e+01 V
9.250000000000000000e+00 -1.823818606455240143e+01 V
9.589999999999999858e+00 -1.828975658829029527e+01 V
9.949999999999999289e+00 -1.833104046670768383e+01 V
1.033000000000000007e+01 -1.837382024752166032e+01 V
1.071000000000000085e+01 -1.841137560146621155e+01 V
1.111999999999999922e+01 -1.845243409582484873e+01 V
1.153999999999999915e+01 -1.849346960457611289e+01 V
1.197000000000000064e+01 -1.852464186418712444e+01 V
1.241999999999999993e+01 -1.856269173042296572e+01 V
1.288000000000000078e+01 -1.859184837137828694e+01 V
1.336999999999999922e+01 -1.862468369493184994e+01 V
1.386999999999999922e+01 -1.864984874847020535e+01 V
1.439000000000000057e+01 -1.868288433609736998e+01 V
1.492999999999999972e+01 -1.870504040855077577e+01 V
1.549000000000000021e+01 -1.872623465025383283e+01 V
1.607999999999999829e+01 -1.874045070166004479e+01 V
1.667999999999999972e+01 -1.874881879531272588e+01 V
1.730999999999999872e+01 -1.875937806471489822e+01 V
1.796000000000000085e+01 -1.876446522988623755e+01 V
1.862999999999999901e+01 -1.876135043455634843e+01 V
1.932999999999999829e+01 -1.875769450084471757e+01 V
2.005999999999999872e+01 -1.874774375206558830e+01 V
2.080999999999999872e+01 -1.873151094508092740e+01 V
2.158999999999999986e+01 -1.870707876197159081e+01 V
2.241000000000000014e+01 -1.867709532996792277e+01 V
2.325000000000000000e+01 -1.864420368015536411e+01 V
2.412000000000000099e+01 -1.860027550257958495e+01 V
2.503000000000000114e+01 -1.855040588811099767e+01 V
2.596999999999999886e+01 -1.849834925150013731e+01 V
2.694000000000000128e+01 -1.843410634547437965e+01 V
2.796000000000000085e+01 -1.836546672503991573e+01 V
2.901000000000000156e+01 -1.828805150607632868e+01 V
3.010000000000000142e+01 -1.820787281873884211e+01 V
3.123000000000000043e+01 -1.812085982248717286e+01 V
3.239999999999999858e+01 -1.804083837279617342e+01 V
3.361999999999999744e+01 -1.794995281730222203e+01 V
3.488000000000000256e+01 -1.786325168955330511e+01 V
3.618999999999999773e+01 -1.776962778203581195e+01 V
3.754999999999999716e+01 -1.768809802603954395e+01 V
3.896000000000000085e+01 -1.760888588888623474e+01 V
4.042999999999999972e+01 -1.753400536240731356e+01 V
