time magnitude band
6.160000000000000142e+00 -1.766483566086429846e+01 B
6.389999999999999680e+00 -1.773957615676546951e+01 B
6.629999999999999893e+00 -1.777728221035984291e+01 B
6.879999999999999893e+00 -1.783706119446060967e+01 B
7.139999999999999680e+00 -1.787447290606223760e+01 B
7.410000000000000142e+00 -1.793792851772712993e+01 B
7.690000000000000391e+00 -1.797332770345451181e+01 B
7.980000000000000426e+00 -1.802938190737666702e+01 B
8.279999999999999361e+00 -1.806334958229879106e+01 B
8.589999999999999858e+00 -1.811661587121467321e+01 B
8.910000000000000142e+00 -1.815190052202020965e+01 B
9.250000000000000000e+00 -1.819009855583962931e+01 B
9.589999999999999858e+00 -1.822928724738180506e+01 B
9.949999999999999289e+00 -1.826070428533650514e+01 B
1.033000000000000007e+01 -1.828467348910813328e+01 B
1.071000000000000085e+01 -1.831661164496491168e+01 B
1.111999999999999922e+01 -1.833841571830464900e+01 B
1.153999999999999915e+01 -1.836187130258424816e+01 B
1.197000000000000064e+01 -1.836634101261281415e+01 B
1.241999999999999993e+01 -1.837869077453173716e+01 B
1.288000000000000078e+01 -1.838588499362781192e+01 B
1.336999999999999922e+01 -1.838665670027974741e+01 B
1.386999999999999922e+01 -1.837884431914476835e+01 B
1.439000000000000057e+01 -1.836832214094817672e+01 B
1.492999999999999972e+01 -1.834977422103976252e+01 B
1.549000000000000021e+01 -1.832556314964925903e+01 B
1.607999999999999829e+01 -1.829483917975200669e+01 B
1.667999999999999972e+01 -1.825171330739939179e+01 B
1.730999999999999872e+01 -1.820758150891057170e+01 B
1.796000000000000085e+01 -1.815186220401839279e+01 B
1.862999999999999901e+01 -1.809281640860616136e+01 B
1.932999999999999829e+01 -1.802704980278147318e+01 B
2.005999999999999872e+01 -1.795395380882304792e+01 B
2.080999999999999872e+01 -1.787584440691393084e+01 B
2.158999999999999986e+01 -1.778877768984227004e+01 B
2.241000000000000014e+01 -1.770225979438708563e+01 B
2.325000000000000000e+01 -1.759692945225805616e+01 B
2.412000000000000099e+01 -1.750085311417763023e+01 B
2.503000000000000114e+01 -1.739560294737185586e+01 B
2.596999999999999886e+01 -1.728320901056277847e+01 B
2.694000000000000128e+01 -1.717242019673080478e+01 B
2.796000000000000085e+01 -1.706279441436745259e+01 B
2.901000000000000156e+01 -1.696359151648160690e+01 B
3.010000000000000142e+01 -1.684959372468748739e+01 B
3.123000000000000043e+01 -1.675690652396824021e+01 B
