time magnitude band
6.160000000000000142e+00 -1.775576763762403942e+01 I
6.389999999999999680e+00 -1.783621088350438200e+01 I
6.629999999999999893e+00 -1.788098051482094775e+01 I
6.879999999999999893e+00 -1.795456215634639818e+01 I
7.139999999999999680e+00 -1.799197631546037712e+01 I
7.410000000000000142e+00 -1.806092749422947108e+01 I
7.690000000000000391e+00 -1.809423724621485619e+01 I
7.980000000000000426e+00 -1.815046916538214816e+01 I
8.279999999999999361e+00 -1.819472593025662022e+01 I
8.589999999999999858e+00 -1.825670920187733870e+01 I
8.910000000000000142e+00 -1.829553302887659072e+01 I
9.250000000000000000e+00 -1.833720960689723256e+01 I
9.589999999999999858e+00 -1.838142884564354773e+01 I
9.949999999999999289e+00 -1.843149520987343948e+01 I
1.033000000000000007e+01 -1.848403914923748559e+01 I
1.071000000000000085e+01 -1.851163658623263686e+01 I
1.111999999999999922e+01 -1.856210375594057993e+01 I
1.153999999999999915e+01 -1.859670296604331341e+01 I
1.197000000000000064e+01 -1.863581227112653238e+01 I
1.241999999999999993e+01 -1.866723121428124443e+01 I
1.288000000000000078e+01 -1.871286797268898994e+01 I
1.336999999999999922e+01 -1.874278887523583492e+01 I
1.386999999999999922e+01 -1.877661854846985534e+01 I
1.439000000000000057e+01 -1.881274775969292534e+01 I
1.492999999999999972e+01 -1.884502538504128921e+01 I
1.549000000000000021e+01 -1.888234495076493147e+01 I
1.607999999999999829e+01 -1.891505340881747799e+01 I
1.667999999999999972e+01 -1.895249420623040493e+01 I
1.730999999999999872e+01 -1.898685207044894696e+01 I
1.796000000000000085e+01 -1.902215921484881278e+01 I
1.862999999999999901e+01 -1.905073610055578470e+01 I
1.932999999999999829e+01 -1.907908926499865743e+01 I
2.005999999999999872e+01 -1.909815631146710757e+01 I
2.080999999999999872e+01 -1.911992158379821305e+01 I
2.158999999999999986e+01 -1.913800033985358340e+01 I
2.241000000000000014e+01 -1.914593118216502177e+01 I
2.325000000000000000e+01 -1.915003028339565461e+01 I
2.412000000000000099e+01 -1.914610918167639042e+01 I
2.503000000000000114e+01 -1.913166852010698449e+01 I
2.596999999999999886e+01 -1.911238569320882519e+01 I
2.694000000000000128e+01 -1.908488896198629092e+01 I
2.796000000000000085e+01 -1.904899912270409246e+01 I
2.901000000000000156e+01 -1.901196753757096758e+01 I
3.010000000000000142e+01 -1.896545208129737148e+01 I
3.123000000000000043e+01 -1.889898211448993237e+01 I
