time magnitude band
6.160000000000000142e+00 -1.782739258747981381e+01 R
6.389999999999999680e+00 -1.790797824757485301e+01 R
6.629999999999999893e+00 -1.795350113723038632e+01 R
6.879999999999999893e+00 -1.802321288567754820e+01 R
7.139999999999999680e+00 -1.806492469871361095e+01 R
7.410000000000000142e+00 -1.812037423446955486e+01 R
7.690000000000000391e+00 -1.817292373137080475e+01 R
7.980000000000000426e+00 -1.822724303728284312e+01 R
8.279999999999999361e+00 -1.827634143257285970e+01 R
8.589999999999999858e+00 -1.833865760663653788e+01 R
8.910000000000000142e+00 -1.838175354804915429e+01 R
9.250000000000000000e+00 -1.842922664107489084e+01 R
9.589999999999999858e+00 -1.847171541652867077e+01 R
9.949999999999999289e+00 -1.851820611050400345e+01 R
1.033000000000000007e+01 -1.856439232072098022e+01 R
1.071000000000000085e+01 -1.861200640772958437e+01 R
1.111999999999999922e+01 -1.864728757918887680e+01 R
1.153999999999999915e+01 -1.869108574559858837e+01 R
1.197000000000000064e+01 -1.872933862007030825e+01 R
1.241999999999999993e+01 -1.876849824646431486e+01 R
1.288000000000000078e+01 -1.880405793912786194e+01 R
1.336999999999999922e+01 -1.883779586722588206e+01 R
1.386999999999999922e+01 -1.886854122419060076e+01 R
1.439000000000000057e+01 -1.889778702223349427e+01 R
1.492999999999999972e+01 -1.892477666874788866e+01 R
1.549000000000000021e+01 -1.894685348865600361e+01 R
1.607999999999999829e+01 -1.897129458777922295e+01 R
1.667999999999999972e+01 -1.899006697943737620e+01 R
1.730999999999999872e+01 -1.900665886736349819e+01 R
1.796000000000000085e+01 -1.902054453711638260e+01 R
1.862999999999999901e+01 -1.902786695637655257e+01 R
1.932999999999999829e+01 -1.903222866688308912e+01 R
2.005999999999999872e+01 -1.903977871810146283e+01 R
2.080999999999999872e+01 -1.903395361422221299e+01 R
2.158999999999999986e+01 -1.902184007255394960e+01 R
2.241000000000000014e+01 -1.900518383447310100e+01 R
2.325000000000000000e+01 -1.898374349527085769e+01 R
2.412000000000000099e+01 -1.895600084063526936e+01 R
2.503000000000000114e+01 -1.891660309810458784e+01 R
2.596999999999999886e+01 -1.887589471680414732e+01 R
2.694000000000000128e+01 -1.882550987434250089e+01 R
2.796000000000000085e+01 -1.876777596564460993e+01 R
2.901000000000000156e+01 -1.870225724095106656e+01 R
3.010000000000000142e+01 -1.863357324650258562e+01 R
3.123000000000000043e+01 -1.855342495854763030e+01 R
