time magnitude band
6.160000000000000142e+00 -1.777069040311640080e+01 V
6.389999999999999680e+00 -1.784744530833585330e+01 V
6.629999999999999893e+00 -1.789616670773925122e+01 V
6.879999999999999893e+00 -1.795830343320940869e+01 V
7.139999999999999680e+00 -1.800824526369901335e+01 V
7.410000000000000142e+00 -1.806932799098091635e+01 V
7.690000000000000391e+00 -1.811913942810155120e+01 V
7.980000000000000426e+00 -1.818164097009674052e+01 V
8.279999999999999361e+00 -1.822063220502290193e+01 V
8.589999999999999858e+00 -1.828586738491208763e+01 V
8.910000000000000142e+00 -1.832747634182786456e+01 V
9.250000000000000000e+00 -1.838405954283478394e+01 V
9.589999999999999858e+00 -1.842273963664799652e+01 V
9.949999999999999289e+00 -1.847859587483182509e+01 V
1.033000000000000007e+01 -1.852002439530295774e+01 V
1.071000000000000085e+01 -1.856685562327738381e+01 V
1.111999999999999922e+01 -1.861220182727059935e+01 V
1.153999999999999915e+01 -1.864989070605345844e+01 V
1.197000000000000064e+01 -1.868224207640464130e+01 V
1.241999999999999993e+01 -1.872472942093948234e+01 V
1.288000000000000078e+01 -1.876051368982736989e+01 V
1.336999999999999922e+01 -1.878354541658388754e+01 V
1.386999999999999922e+01 -1.881987242255347326e+01 V
1.439000000000000057e+01 -1.884376347259663831e+01 V
1.492999999999999972e+01 -1.886131436479299239e+01 V
1.549000000000000021e+01 -1.888328862027507427e+01 V
1.607999999999999829e+01 -1.889715224315451891e+01 V
1.667999999999999972e+01 -1.890546391769496992e+01 V
1.730999999999999872e+01 -1.890824439199035112e+01 V
1.796000000000000085e+01 -1.891088716986417850e+01 V
1.862999999999999901e+01 -1.890436989101212362e+01 V
1.932999999999999829e+01 -1.889007911981385490e+01 V
2.005999999999999872e+01 -1.887536458918133775e+01 V
2.080999999999999872e+01 -1.885309295437127730e+01 V
2.158999999999999986e+01 -1.881750833813689638e+01 V
2.241000000000000014e+01 -1.877510254575857118e+01 V
2.325000000000000000e+01 -1.872992940276733620e+01 V
2.412000000000000099e+01 -1.867609872518952940e+01 V
2.503000000000000114e+01 -1.861010273357034350e+01 V
2.596999999999999886e+01 -1.853821242527318347e+01 V
2.694000000000000128e+01 -1.846290074762942623e+01 V
2.796000000000000085e+01 -1.838169018959181855e+01 V
2.901000000000000156e+01 -1.829118041171415499e+01 V
3.010000000000000142e+01 -1.820718640566891011e+01 V
3.123000000000000043e+01 -1.811512103471667956e+01 V
